harwood,wood
havana,NaN
have,NaN
haven,NaN
hawaii,NaN
haze,NaN
hazel,"wood,brown"
hazelnut,brown
hazelwood,wood
hazy,NaN
hd,NaN
hdf,NaN
head,NaN
heads,NaN
heart,NaN
heat,NaN
heather,NaN
heavily,NaN
heavy,NaN
heirloom,NaN
hematite,NaN
hemingway,NaN
hemlock,NaN
hemp,NaN
henna,NaN
herbal,NaN
herbs,NaN
herculean,NaN
heritage,NaN
herringbone,NaN
hexagon,NaN
hi,NaN
hi-fi,NaN
hickory,NaN
hide,NaN
high,NaN
highest,NaN
highlight,NaN
highlights,NaN
highly,NaN
hill,NaN
hillel,NaN
hills,NaN
himalayan,NaN
hinges,NaN
hobby,NaN
holder,NaN
holding,NaN
holdings,NaN
hollingsworth,NaN
hollow,NaN
hollowboard,wood
hollywood,NaN
homespun,NaN
honed,NaN
honey,NaN
honeycomb,NaN
hood,NaN
hook,NaN
hope,NaN
horizon,NaN
horn,NaN
horse,NaN
horsehair,NaN
hot,NaN
house,NaN
how,NaN
hp,NaN
hr,NaN
hudson,NaN
hugo,NaN
humdrum,NaN
hume,NaN
hunter,NaN
huntington,NaN
husk,rattan
hyacinth,rattan
hyde,NaN
hydra,NaN
hylas,NaN
ice,NaN
ii,NaN
imbued,NaN
imperial,NaN
implosion,NaN
imported,NaN
in,NaN
inch,NaN
included,NaN
including,NaN
indian,NaN
indica,NaN
indigo,purple
indira,NaN
indonesian,NaN
industrial,NaN
injection,NaN
ink,NaN
inky,NaN
inlaid,NaN
inlay,NaN
inlays,NaN
inner,NaN
inserts,NaN
inset,NaN
inside,NaN
interior,NaN
interlocking,NaN
internal,NaN
intuit,NaN
intuition,NaN
ireland,NaN
iris,NaN
iron,metal
ironfabric,metal
ironnailhead,metal
is,NaN
island,NaN
islander,NaN
italia,NaN
italian,NaN
italianppm,NaN
items,NaN
ives,NaN
ivory,white
izzy,NaN
jacaranda,NaN
jack,NaN
jacket,NaN
jackson,NaN
jacobean,NaN
jacquard,NaN
jade,NaN
jamaica,NaN
jasmine,NaN
java,NaN
javawood,wood
jazzy,NaN
jefferson,NaN
jessie,NaN
jet,NaN
jetty,NaN
jewel,NaN
jitterbug,NaN
joinery,NaN
jointed,NaN
jubilant,NaN
jubilee,NaN
jupiter,NaN
jute,NaN
k,NaN
kalahari,NaN
karelia,NaN
kashmir,NaN
kat,NaN
kate,NaN
kd,NaN
ke,NaN
keats,NaN
keen,NaN
keira,NaN
kelly,NaN
kelp,NaN
kg,NaN
khaki,fabric
khan,NaN
kiln,NaN
kingston,NaN
kingswood,wood
kingwood,wood
kiwi,NaN
klein,NaN
knit,NaN
knobs,NaN
knotted,NaN
knotty,NaN
koa,NaN
kong,NaN
kraft,NaN
krypton,NaN
kubusplit,NaN
kudu,NaN
kundera,NaN
kyoto,NaN
lack,NaN
lacquer,NaN
lacquered,NaN
ladies,NaN
lagoon,blue
laguna,NaN
lake,NaN
lakewood,wood
lal,NaN
lamb,NaN
lambs,NaN
lambskin,NaN
laminate,NaN
laminated,NaN
lamination,NaN
lamont,NaN
lanceolata,wood
landscape,NaN
lane,NaN
langdon,NaN
langheinrich,NaN
langstone,NaN
lantern,NaN
larch,NaN
large,NaN
largesilvernails,NaN
laser,NaN
late,NaN
lattice,NaN
latticework,NaN
laura,NaN
laurel,NaN
laurelwood,wood
lauren,NaN
laurentian,NaN
lauro,x
lava,x
lavender,purple
lavin,x
layered,x
layers,x
lbs,x
lead,metal
leaded,metal
leaf,x
leafed,x
lean,x
learnable,x
leathart,x
leather,leather
leatherchromed,leather
leatherette,leather
leatherhigh,leather
leathermerino,leather
leathernail,leather
leatherplus,leather
leathersoft,leather
leathersteel,leather
leaves,x
leg,x
legs,x
leiden,x
lemon,yellow
lemonade,yellow
lena,x
lenin,x
leo,x
leopard,x
less,x
lethal,x
letter,x
lichen,fabric
light,x
lightly,x
lightman,x
lightweight,x
like,x
lillian,x
lime,x
limed,x
limerick,x
limestone,rock
limewash,white
limewood,wood
limp,x
lin,x
linden,x
lindy,x
line,x
linen,fabric
linenleather,leather
linennail,fabric
linenresin,fabric
linenresinleather,fabric
linked,x
lint,x
lion,x
lipstick,x
liquorice,black
lite,x
littlewood,wood
live,x
local,x
locally,x
locust,x
loden,x
lodge,x
loft,x
log,wood
logs,wood
london,x
longhorn,x
look,x
loom,x
loosecover,x
lotus,x
lounge,x
low,x
lowered,x
loyal,x
lozenge,x
lucerne,x
lucie,x
lukas,x
lumber,wood
lunar,x
lychees,x
lyme,x
macrone,x
macrophylla,x
madagascar,x
made,x
madeira,x
magenta,pink
magnesia,x
magnesium,metal
maharaj,x
mahogany,wood
mahoganyacacia,wood
mahoganycherry,wood
mahoganyfaux,wood
mahoganyinlaid,wood
maize,x
makassar,wood
malaquania,wood
malaysian,x
malaysianoak,wood
malibu,x
mallard,x
man,x
manager,x
manchester,x
manchurian,x
mandarin,x
mangifera,wood
mango,yellow
mangowood,wood
manila,x
manor,wood
manufacture,x
manufactured,x
map,x
maple,wood
mappa,x
mara,x
maraschino,x
marble,marble
marbled,marble
margo,x
maria,x
marigold,yellow
marina,x
marine,blue
marino,x
marker,x
marlow,x
maroon,red
marquetry,wood
marron,x
marsh,x
martell,x
marwood,wood
masai,x
masala,x
massoniana,x
master,x
mat,x
match,x
matched,x
matching,x
material,x
materials,x
matrix,x
matt,x
matte,x
mauve,x
maximus,x
maxwell,x
may,x
mayberry,x
mayfair,x
mayfield,x
mazarin,x
maze,x
mcl,x
mdf,x
mdfandiron,wood
mdfwithashveneer,wood
mdfwithpaperveneer,wood
mdp,wood
meander,x
mecca,x
mechanism,x
med,x
medaglia,x
medal,x
medallion,x
medea,x
mediterranean,x
medium,x
melamine,plastic
melange,x
melina,x
melissa,x
mellow,x
melody,x
melon,wood
memento,x
memories,x
memory,x
memphis,x
mental,x
mercury,silver
merino,x
merlot,blue
mesh,x
meta,x
metal,metal
metall,metal
metallic,metal
metals,metal
metaware,x
methacrylate,glass
miami,x
michaels,x
micro,x
microfibre,fabric
microsuede,fabric
microtweed,fabric
middle,x
midland,x
midnight,x
milan,x
milano,wood
mild,x
milestone,x
milford,x
military,x
milk,x
millcraft,x
mind,x
mineral,marble
mink,wood
mint,green
minty,x
mir,x
mirror,glass
mirrored,glass
missing,x
mission,x
mist,x
misty,x
mix,x
mixed,x
mixture,x
mm,x
mnr,x
mob,x
moccasin,leather
mocha,wood
mock,x
modern,x
modified,x
mohair,fabric
mohan,x
moisture,x
mojave,x
molasses,x
mole,x
moment,x
monahan,x
monkey,x
montage,x
monza,x
moon,x
moonbeam,x
moonlight,x
mop,x
morandi,x
morgan,x
morning,x
moro,x
moroccan,x
morocco,x
mosaic,x
mosquito,x
moss,green
mossy,green
most,x
mother,x
motion,x
mottled,x
moulded,x
mountain,x
mounts,x
moving,x
mozambique,x
mozart,x
mt,x
multi,x
multibrown,brown
multicolour,x
multicoloured,x
multiple,x
mum,x
muse,x
mushroom,wood
muskoka,x
mustard,yellow
muted,x
my,x
myrtle,wood
mystere,x
n,x
na,x
nad,x
naga,x
nail,x
nails,x
nailsmahoganyitalian,wood
nailsmahoganytufted,wood
namesake,x
namur,x
nan,x
nantucket,x
napkin,x
nat,x
natalie,x
native,x
natural,x
naturally,x
naturals,x
nature,x
naugahyde,leather
nautical,x
nautilus,x
nautolex,x
navaho,x
navy,x
naylor,x
nc,x
nctopcoating,x
need,x
negro,x
neo,x
neon,x
neptune,blue
nero,x
nest,x
nettle,x
neutral,x
neville,x
new,x
niche,x
nickel,metal
nickelcasters,metal
nickle,metal
night,x
nine,x
nitrocellulosecoating,plastic
nizan,x
no,x
nobility,x
noir,x
noise,x
non,x
nonwoven,x
nordic,x
normal,x
north,x
nosed,x
nostalgic,x
not,x
notion,x
nougat,x
nouveau,x
novella,x
nude,beige
nugget,x
nut,brown
nutmeg,brown
nylon,fabric
oak,wood
oakwalnut,wood
oakwood,wood
oasis,x
oat,beige
oatmeal,beige
obsidian,marble
ocean,blue
ochre,brown
ocs,x
odin,x
of,x
off,x
offered,x
oil,x
oiled,x
okoumu,x
okumee,x
okuome,x
old,x
olde,x
olive,x
olympia,x
on,x
only,x
onoue,x
onyx,marble
opaque,x
ops,x
optic,x
option,x
optional,x
opulent,x
or,x
orange,orange
orangerie,x
orchard,x
orchid,wood
oregon,wood
organic,x
original,x
orleans,x
ormolumahoganycherry,wood
oslo,x
ostrich,x
other,x
others,x
otter,x
ottoman,x
out,x
oval,x
over,x
overcast,x
overlay,x
overly,x
ovum,x
owl,x
oxford,x
oxide,x
oxidized,x
oyster,wood
p,x
paceman,x
pacific,x
pad,x
padded,x
padding,x
padre,x
pads,x
paige,x
paint,x
painted,x
painting,x
pair,x
paisley,x
palance,x
pale,x
palermo,x
palette,x
palisade,x
pallets,x
palm,wood
palomino,x
panache,x
pandora,x
pane,x
panel,x
panels,x
papaya,orange
pape,x
paper,x
paprika,wood
paradigm,x
paradise,x
parchment,x
pareto,x
parish,x
parisian,x
parker,x
parkwood,wood
parliament,x
parquet,wood
parquetry,wood
parsons,x
partial,x
particle,wood
particleboard,wood
pastel,x
patched,x
patchwork,x
patent,x
patina,wood
pattern,x
patternchromed,x
patterned,x
pau,x
paula,x
paulownia,wood
paver,x
paying,x
pb,wood
pbc,wood
pc,wood
pe,wood
pea,green
peach,orange
peacock,blue
peak,x
peanut,brown
pear,green
pearl,white
pearlizzed,white
pearwood,wood
pebble,marble
pecan,brown
peck,x
pedestal,x
peel,x
pellets,x
pen,x
penny,wood
pepper,wood
peppermint,green
percent,x
perennial,x
perforated,x
performance,x
period,x
periwinkle,blue
persian,x
persimmon,orange
person,x
perused,x
pesc,x
petrified,x
petrol,x
pewter,metal
phantom,x
phase,x
photo,x
phthalate,plastic
piano,x
pickled,x
piece,x
pier,x
pillow,x
pillows,x
pin,x
